Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,104.190002,105.480003,104.190002,104.489998,102.135040,37346
2022-09-21,104.489998,104.820000,103.699997,103.830002,101.489929,37515
2022-09-22,104.010002,105.300003,104.010002,104.949997,102.584679,37601
2022-09-23,104.949997,105.199997,103.919998,103.949997,101.607208,34921
2022-09-26,104.000000,104.190002,103.760002,103.959999,101.616989,18325
2022-09-27,104.000000,104.000000,103.860001,103.910004,101.568123,19680
2022-09-28,103.910004,104.059998,103.849998,103.940002,101.597450,23504
2022-09-29,104.059998,104.949997,103.500000,103.599998,101.265106,26802
2022-09-30,103.800003,104.000000,103.000000,103.559998,101.225998,35243
2022-10-03,103.599998,104.000000,103.000000,103.379997,101.050064,34663
2022-10-04,103.379997,103.730003,102.980003,103.620003,101.284660,26255
2022-10-05,103.629997,103.629997,103.279999,103.449997,101.118477,30276
2022-10-06,103.449997,103.500000,103.209999,103.449997,101.118477,35768
2022-10-07,103.449997,103.599998,103.410004,103.419998,101.089157,32541
2022-10-10,103.449997,104.470001,103.419998,103.889999,101.548569,28955
2022-10-11,103.989998,104.400002,103.470001,103.930000,101.587662,32196
2022-10-13,103.419998,104.430000,103.419998,104.300003,101.949326,34622
2022-10-14,104.279999,104.489998,103.449997,103.949997,101.607208,30518
2022-10-17,104.269997,104.489998,103.099998,103.449997,101.118477,44516
2022-10-18,103.599998,103.989998,103.599998,103.989998,101.646317,22346
2022-10-19,103.860001,104.529999,103.519997,103.889999,102.286278,32470
2022-10-20,103.889999,104.120003,103.599998,103.900002,102.296127,24489
2022-10-21,103.900002,104.000000,103.260002,103.989998,102.384735,26295
2022-10-24,103.989998,104.000000,103.180000,103.510002,101.912155,26688
2022-10-25,103.500000,103.709999,103.010002,103.389999,101.793999,25134
2022-10-26,103.389999,103.769997,103.180000,103.519997,101.921989,24172
2022-10-27,103.000000,103.699997,103.000000,103.480003,101.882607,26572
2022-10-28,103.750000,103.750000,103.029999,103.599998,102.000755,25020
2022-10-31,103.580002,103.980003,101.730003,103.980003,102.374893,38230
2022-11-01,103.970001,103.980003,99.980003,101.980003,100.405769,61986
2022-11-03,101.980003,103.339996,101.980003,102.900002,101.311569,28528
2022-11-04,102.900002,103.690002,102.040001,102.699997,101.114647,35423
2022-11-07,102.820000,104.889999,102.820000,104.419998,102.808098,49152
2022-11-08,104.419998,104.419998,103.139999,104.400002,102.788406,27799
2022-11-09,104.400002,104.500000,103.699997,104.300003,102.689949,28262
2022-11-10,104.300003,104.300003,101.839996,102.199997,100.622360,34322
2022-11-11,102.199997,102.889999,100.900002,100.989998,99.431046,37826
2022-11-14,101.070000,102.500000,101.070000,102.000000,100.425461,26558
2022-11-16,102.000000,103.809998,102.000000,102.790001,101.203262,30449
2022-11-17,102.790001,102.959999,99.389999,100.199997,98.653236,55230
2022-11-18,100.199997,102.500000,100.180000,101.470001,99.903641,27131
2022-11-21,100.720001,101.000000,99.760002,100.160004,99.348183,25041
2022-11-22,100.160004,100.540001,99.559998,99.849998,99.040688,24811
2022-11-23,99.849998,100.480003,98.150002,98.690002,97.890091,24072
2022-11-24,98.699997,99.980003,98.699997,98.730003,97.929771,16908
2022-11-25,98.769997,99.989998,98.769997,99.080002,98.276932,22933
2022-11-28,99.080002,99.879997,98.269997,98.269997,97.473488,25379
2022-11-29,98.269997,99.150002,96.230003,96.949997,96.164192,63608
2022-11-30,96.949997,99.290001,96.949997,98.160004,97.364388,38988
2022-12-01,98.160004,101.360001,98.000000,100.900002,100.082176,49246
2022-12-02,100.900002,101.150002,99.550003,100.790001,99.973068,20342
2022-12-05,100.800003,102.000000,99.709999,100.150002,99.338257,24189
2022-12-06,100.150002,103.099998,100.150002,100.230003,99.417610,47048
2022-12-07,101.099998,101.940002,100.169998,100.309998,99.496956,24283
2022-12-08,100.339996,101.470001,99.510002,99.650002,98.842308,25786
2022-12-09,99.849998,101.010002,99.650002,99.809998,99.001007,26378
2022-12-12,99.809998,100.500000,98.769997,98.900002,98.098389,36093
2022-12-13,98.900002,99.239998,97.550003,98.180000,97.384224,32319
2022-12-14,98.180000,98.900002,96.010002,96.010002,95.231812,39894
2022-12-15,96.019997,97.449997,95.410004,95.650002,94.874733,33911
2022-12-16,95.750000,96.629997,95.000000,95.000000,94.229996,35805
2022-12-19,94.510002,95.699997,93.900002,94.239998,94.239998,46428
2022-12-20,94.239998,95.680000,94.239998,94.489998,94.489998,45658
2022-12-21,94.779999,98.370003,94.779999,97.919998,97.919998,50433
2022-12-22,98.970001,98.970001,97.260002,97.400002,97.400002,43740
2022-12-23,97.500000,98.150002,95.290001,95.300003,95.300003,60028
2022-12-26,95.779999,97.980003,95.779999,95.900002,95.900002,46376
2022-12-27,96.029999,97.730003,95.779999,96.169998,96.169998,55211
2022-12-28,96.389999,97.410004,94.300003,95.000000,95.000000,69994
2022-12-29,95.320000,96.879997,94.900002,95.680000,95.680000,57442
2023-01-02,95.699997,96.300003,94.459999,95.470001,95.470001,61445
2023-01-03,95.750000,96.070000,93.500000,94.820000,94.820000,57640
2023-01-04,95.239998,95.650002,93.559998,94.349998,94.349998,46340
2023-01-05,94.419998,95.389999,94.080002,94.699997,94.699997,45555
2023-01-06,95.050003,95.400002,93.500000,93.959999,93.959999,52863
